team1,team2,winner,margin,venue,match_date,match_no
New Zealand,Australia,Australia,44 runs,Auckland,"Feb 17, 2005",T20I # 1
England,Australia,England,100 runs,Southampton,"Jun 13, 2005",T20I # 2
South Africa,New Zealand,New Zealand,5 wickets,Johannesburg,"Oct 21, 2005",T20I # 3
South Africa,India,India,21 runs,Durban,"Jan 9, 2011",T20I # 196
Australia,England,England,1 wicket,Adelaide,"Jan 12, 2011",T20I # 197
Australia,England,Australia,4 runs,Melbourne,"Jan 14, 2011",T20I # 198
West Indies,Pakistan,West Indies,7 runs,Gros Islet,"Apr 21, 2011",T20I # 199
West Indies,India,India,16 runs,Port of Spain,"Jun 4, 2011",T20I # 200
England,Sri Lanka,Sri Lanka,9 wickets,Bristol,"Jun 25, 2011",T20I # 201
Sri Lanka,Australia,Sri Lanka,35 runs,Pallekele,"Aug 6, 2011",T20I # 202
Sri Lanka,Australia,Sri Lanka,8 runs,Pallekele,"Aug 8, 2011",T20I # 203
England,India,England,6 wickets,Manchester,"Aug 31, 2011",T20I # 204
Zimbabwe,Pakistan,Pakistan,85 runs,Harare,"Sep 16, 2011",T20I # 205
Zimbabwe,Pakistan,Pakistan,5 runs,Harare,"Sep 18, 2011",T20I # 206
England,West Indies,England,10 wickets,The Oval,"Sep 23, 2011",T20I # 207
England,West Indies,West Indies,25 runs,The Oval,"Sep 25, 2011",T20I # 208
Bangladesh,West Indies,Bangladesh,3 wickets,Dhaka,"Oct 11, 2011",T20I # 209
South Africa,Australia,Australia,5 wickets,Cape Town,"Oct 13, 2011",T20I # 210
Zimbabwe,New Zealand,New Zealand,10 wickets,Harare,"Oct 15, 2011",T20I # 211
South Africa,Australia,South Africa,3 wickets,Johannesburg,"Oct 16, 2011",T20I # 212
Zimbabwe,New Zealand,New Zealand,34 runs,Harare,"Oct 17, 2011",T20I # 213
India,England,England,6 wickets,Kolkata,"Oct 29, 2011",T20I # 214
Pakistan,Sri Lanka,Pakistan,5 wickets,Abu Dhabi,"Nov 25, 2011",T20I # 215
Bangladesh,Pakistan,Pakistan,50 runs,Dhaka,"Nov 29, 2011",T20I # 216
Australia,South Africa,Australia,95 runs,Brisbane,"Jan 9, 2006",T20I # 4
New Zealand,West Indies,tied,Auckland,"Feb 16, 2006",T20I # 5,
South Africa,Australia,South Africa,2 runs,Johannesburg,"Feb 24, 2006",T20I # 6
England,Sri Lanka,Sri Lanka,2 runs,Southampton,"Jun 15, 2006",T20I # 7
England,Pakistan,Pakistan,5 wickets,Bristol,"Aug 28, 2006",T20I # 8
Bangladesh,Zimbabwe,Bangladesh,43 runs,Khulna,"Nov 28, 2006",T20I # 9
South Africa,India,India,6 wickets,Johannesburg,"Dec 1, 2006",T20I # 10
New Zealand,Sri Lanka,Sri Lanka,18 runs,Wellington,"Dec 22, 2006",T20I # 11
New Zealand,Sri Lanka,New Zealand,5 wickets,Auckland,"Dec 26, 2006",T20I # 12
South Africa,West Indies,South Africa,4 wickets,Johannesburg,"Jan 18, 2008",T20I # 51
Australia,India,Australia,9 wickets,Melbourne,"Feb 1, 2008",T20I # 52
New Zealand,England,England,32 runs,Auckland,"Feb 5, 2008",T20I # 53
New Zealand,England,England,50 runs,Christchurch,"Feb 7, 2008",T20I # 54
Pakistan,Bangladesh,Pakistan,102 runs,Karachi,"Apr 20, 2008",T20I # 55
England,New Zealand,England,9 wickets,Manchester,"Jun 13, 2008",T20I # 56
West Indies,Australia,West Indies,7 wickets,Bridgetown,"Jun 20, 2008",T20I # 57
Kenya,Netherlands,Netherlands,19 runs,Belfast,"Aug 2, 2008",T20I # 58
Ireland,Scotland,Ireland,4 wickets,Belfast,"Aug 2, 2008",T20I # 59
Canada,Netherlands,Canada,4 wickets,Belfast,"Aug 2, 2008",T20I # 60
Bermuda,Scotland,Scotland,8 wickets,Belfast,"Aug 3, 2008",T20I # 61
Canada,Kenya,Kenya,4 wickets,Belfast,"Aug 3, 2008",T20I # 62
Ireland,Bermuda,Ireland,4 runs,Belfast,"Aug 3, 2008",T20I # 63
Ireland,Kenya,Ireland,4 wickets,Belfast,"Aug 4, 2008",T20I # 64
Netherlands,Scotland,Netherlands,5 wickets,Belfast,"Aug 4, 2008",T20I # 65
Kenya,Scotland,Scotland,9 wickets,Belfast,"Aug 4, 2008",T20I # 66
Bermuda,Canada,Canada,8 wickets,Belfast,"Aug 5, 2008",T20I # 67
Ireland,Netherlands,no result,Belfast,"Aug 5, 2008",T20I # 68,
Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,King City (NW),"Oct 10, 2008",T20I # 69
Canada,Pakistan,Pakistan,35 runs,King City (NW),"Oct 10, 2008",T20I # 70
Canada,Zimbabwe,tied,King City (NW),"Oct 11, 2008",T20I # 71,
Pakistan,Sri Lanka,Pakistan,3 wickets,King City (NW),"Oct 11, 2008",T20I # 72
Pakistan,Zimbabwe,Pakistan,7 wickets,King City (NW),"Oct 12, 2008",T20I # 73
Canada,Sri Lanka,Sri Lanka,15 runs,King City (NW),"Oct 12, 2008",T20I # 74
Canada,Zimbabwe,Zimbabwe,109 runs,King City (NW),"Oct 13, 2008",T20I # 75
Pakistan,Sri Lanka,Sri Lanka,5 wickets,King City (NW),"Oct 13, 2008",T20I # 76
South Africa,Bangladesh,South Africa,12 runs,Johannesburg,"Nov 5, 2008",T20I # 77
